market_id,classifier_label,tag_slug,question,z1,z2,label_class_index,label_class,latent_is_cvae_mu
1005343,Crypto,crypto,Puffpaw FDV above $50M one day after launch?,-4.655814514311379e-05,-1.86483698324804e-05,1,Crypto,1
1005344,Crypto,crypto,Puffpaw FDV above $100M one day after launch?,-3.6415914127708685e-05,-2.1854327338053755e-05,1,Crypto,1
1032272,Finance,finance,"Will Gold (GC) hit (HIGH) $5,500 by end of June?",-9.837579493958301e-06,-1.553985753616019e-06,2,Finance,1
1057883,Crypto,crypto,"Will Bitcoin reach $250,000 by December 31, 2026?",6.026900725805743e-06,2.0166311244004587e-06,1,Crypto,1
1057916,Crypto,crypto,"Will Bitcoin dip to $15,000 by December 31, 2026?",5.805020643236214e-06,1.9155033759768583e-06,1,Crypto,1
1090199,Geopolitics,geopolitics,Will Reza Pahlavi enter Iran by June 30?,1.001617882190449e-05,4.352241464907621e-06,3,Geopolitics,1
1105750,Geopolitics,geopolitics,Will Pete Hegseth be the leader of Venezuela end of 2026?,8.348162205080407e-06,3.017953842038435e-06,3,Geopolitics,1
1105751,Geopolitics,geopolitics,Will Evan Pettus be the leader of Venezuela end of 2026?,8.682380777460667e-06,3.0081797489259456e-06,3,Geopolitics,1
1105752,Geopolitics,geopolitics,Will Frank Donovan be the leader of Venezuela end of 2026?,8.584719231431832e-06,3.0029677342194103e-06,3,Geopolitics,1
1105753,Geopolitics,geopolitics,Will Dan Caine be the leader of Venezuela end of 2026?,8.623511435284307e-06,2.9772900589256257e-06,3,Geopolitics,1
1105754,Geopolitics,geopolitics,Will Richard Grenell be the leader of Venezuela end of 2026?,8.59908747926222e-06,2.9921849167266584e-06,3,Geopolitics,1
1126504,Geopolitics,geopolitics,Will the US acquire part of Greenland in 2026?,-9.385751866824717e-07,-3.134814171252882e-06,3,Geopolitics,1
1131170,Tech,tech,Human moon landing in 2026?,5.945804247144533e-06,3.3878657750037967e-06,7,Tech,1
1144471,Crypto,crypto,Will Satoshi move any Bitcoin in 2026?,3.640940286776873e-06,1.0000423613807157e-06,1,Crypto,1
1171663,Geopolitics,geopolitics,"Russia x Ukraine ceasefire by June 30, 2026?",6.198175595172458e-07,-3.7934738963295546e-06,3,Geopolitics,1
1203147,Business,business,Will Elon Musk buy Ryanair?,6.678562734967427e-06,2.870882006157666e-06,0,Business,1
1298649,Business,business,OpenAI IPO closing market cap above $1T?,-4.199337803875618e-05,-2.6207006400338584e-05,0,Business,1
1302781,Crypto,crypto,Puffpaw FDV above $400M one day after launch?,-7.860038033700923e-06,-4.8367206366157435e-06,1,Crypto,1
1339767,Crypto,crypto,"Will Bitcoin dip to $50,000 by December 31, 2026?",-2.9525137749185034e-05,5.500693237476673e-07,1,Crypto,1
1393068,Crypto,crypto,"Will Bitcoin reach $500,000 by December 31, 2026?",7.663915436898675e-06,2.1921477442972096e-06,1,Crypto,1
1393070,Crypto,crypto,"Will Bitcoin reach $1,000,000 by December 31, 2026?",8.144947746062838e-06,2.6691047178763602e-06,1,Crypto,1
1393318,Crypto,crypto,Predict.fun FDV above $200M one day after launch?,-4.582036712257863e-05,-1.0869564995407214e-05,1,Crypto,1
1393319,Crypto,crypto,Predict.fun FDV above $300M one day after launch?,-3.912068170930816e-05,-4.786432278079614e-06,1,Crypto,1
1484987,Geopolitics,geopolitics,Netanyahu out by June 30?,1.925656835710654e-06,2.5082248109048733e-07,3,Geopolitics,1
1540766,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by end of April?,-9.621840154852372e-06,-3.524679018153496e-06,3,Geopolitics,1
1707932,Geopolitics,geopolitics,Will the Iranian regime fall by May 31?,6.7712906712171644e-06,1.6494740624597114e-06,3,Geopolitics,1
1708109,Geopolitics,geopolitics,Kharg Island no longer under Iranian control by May 31?,1.2642724846907789e-05,-1.0200589148713983e-06,3,Geopolitics,1
1720656,Tech,tech,Will SpaceX's market cap be between $2.5T and $3.0T at market close on IPO day?,5.060183375378952e-06,8.957962671714341e-06,7,Tech,1
1808970,Geopolitics,geopolitics,US obtains Iranian enriched uranium by May 31?,-1.3305120562489097e-05,4.07378554630367e-07,3,Geopolitics,1
1809560,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by end of May?,-2.4791168158718612e-05,1.02158940042705e-05,3,Geopolitics,1
1819243,Geopolitics,geopolitics,QatarEnergy announces/resumes LNG production in Qatar by April 30?,-6.222645967918058e-05,-2.0887651065060268e-05,3,Geopolitics,1
1919425,Geopolitics,geopolitics,"US x Iran permanent peace deal by May 31, 2026?",-5.2322620746103734e-05,-8.888373635365837e-06,3,Geopolitics,1
1962237,Geopolitics,geopolitics,"US x Iran permanent peace deal by June 30, 2026?",-3.775973215199631e-05,1.112635999774359e-05,3,Geopolitics,1
2054133,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by May 15?,-9.23697015072633e-06,-2.6675821697061468e-05,3,Geopolitics,1
2088989,Crypto,crypto,Over $3M committed to the Printr public sale?,-2.2408188020172446e-05,2.292764101972246e-05,1,Crypto,1
2099029,Geopolitics,geopolitics,"US x Iran permanent peace deal by May 15, 2026?",-8.041755609407619e-06,3.3150040034873097e-06,3,Geopolitics,1
540819,Pop culture,pop-culture,Will Jesus Christ return before GTA VI?,-2.850703013501139e-05,-9.712820856170211e-06,5,Pop culture,1
540844,Pop culture,pop-culture,Will bitcoin hit $1m before GTA VI?,-2.865500411296585e-05,-1.0512626515541112e-05,5,Pop culture,1
540881,Pop culture,pop-culture,GTA VI released before June 2026?,1.0079439084745362e-05,2.348897259903524e-06,5,Pop culture,1
553863,Sports,sports,Will the Los Angeles Lakers win the 2026 NBA Finals?,8.229428466519299e-06,2.893928672124871e-06,6,Sports,1
553866,Sports,sports,Will the San Antonio Spurs win the 2026 NBA Finals?,-3.7294852101316628e-06,-4.768250678993343e-06,6,Sports,1
556108,Crypto,crypto,Will MegaETH perform an airdrop by June 30? ,-3.23108690359907e-05,-1.2888561398498745e-05,1,Crypto,1
558934,Sports,sports,Will Spain win the 2026 FIFA World Cup?,-2.995645653541835e-06,-2.69260149716832e-06,6,Sports,1
558936,Sports,sports,Will France win the 2026 FIFA World Cup?,-3.4275185653641447e-06,-1.573296592673838e-06,6,Sports,1
558940,Sports,sports,Will Portugal win the 2026 FIFA World Cup?,4.047406607602548e-06,-3.167119860779764e-07,6,Sports,1
558943,Sports,sports,Will USA win the 2026 FIFA World Cup?,8.582418878713518e-06,1.566234185026751e-06,6,Sports,1
558949,Sports,sports,Will Japan win the 2026 FIFA World Cup?,8.191178211027251e-06,1.3423404150054456e-06,6,Sports,1
558952,Sports,sports,Will Canada win the 2026 FIFA World Cup?,9.358358203756867e-06,1.7760226709521596e-06,6,Sports,1
558954,Sports,sports,Will Tunisia win the 2026 FIFA World Cup?,9.596553674884551e-06,1.8527410339881058e-06,6,Sports,1
558955,Sports,sports,Will Ecuador win the 2026 FIFA World Cup?,9.426596026973039e-06,1.7546687673773074e-06,6,Sports,1
558956,Sports,sports,Will Paraguay win the 2026 FIFA World Cup?,9.530580533101405e-06,1.8106058978082579e-06,6,Sports,1
558957,Sports,sports,Will New Zealand win the 2026 FIFA World Cup?,9.675947712013554e-06,1.878310800285037e-06,6,Sports,1
558958,Sports,sports,Will Australia win the 2026 FIFA World Cup?,9.801195395960096e-06,1.912903737753484e-06,6,Sports,1
558959,Sports,sports,Will Iran win the 2026 FIFA World Cup?,9.576772661362098e-06,1.9024088690683753e-06,6,Sports,1
558960,Sports,sports,Will Uzbekistan win the 2026 FIFA World Cup?,9.675947712013554e-06,1.878310800285037e-06,6,Sports,1
558961,Sports,sports,Will South Korea win the 2026 FIFA World Cup?,9.507836911977277e-06,1.8270945797719697e-06,6,Sports,1
558962,Sports,sports,Will Jordan win the 2026 FIFA World Cup?,9.675947712013554e-06,1.878310800285037e-06,6,Sports,1
558963,Sports,sports,Will Morocco win the 2026 FIFA World Cup?,8.126574313568499e-06,1.5983735552408525e-06,6,Sports,1
558964,Sports,sports,Will South Africa win the 2026 FIFA World Cup?,9.68937057625125e-06,1.8617478179203613e-06,6,Sports,1
558966,Sports,sports,Will Ivory Coast win the 2026 FIFA World Cup?,9.404551221017538e-06,1.813244542020832e-06,6,Sports,1
558968,Sports,sports,Will Egypt win the 2026 FIFA World Cup?,9.517157399247174e-06,1.82716974763162e-06,6,Sports,1
558969,Sports,sports,Will Algeria win the 2026 FIFA World Cup?,9.596553674884551e-06,1.8527410339881058e-06,6,Sports,1
558970,Sports,sports,Will Cape Verde win the 2026 FIFA World Cup?,9.636797910239765e-06,1.8360971948654098e-06,6,Sports,1
558971,Sports,sports,Will Qatar win the 2026 FIFA World Cup?,9.675947712013554e-06,1.878310800285037e-06,6,Sports,1
558972,Sports,sports,Will Saudi Arabia win the 2026 FIFA World Cup?,9.68937057625125e-06,1.8617478179203613e-06,6,Sports,1
558973,Sports,sports,Will Scotland win the 2026 FIFA World Cup?,9.609976675406453e-06,1.8361776158431564e-06,6,Sports,1
558976,Sports,sports,Will Croatia win the 2026 FIFA World Cup?,8.935066453347192e-06,1.7357721538265617e-06,6,Sports,1
558978,Sports,sports,Will Curaçao win the 2026 FIFA World Cup?,9.636797910239765e-06,1.8360971948654098e-06,6,Sports,1
559651,Geopolitics,geopolitics,Xi Jinping out before 2027?,4.5143603936930425e-06,-4.853897770317444e-07,3,Geopolitics,1
559666,Politics,politics,Will Tim Walz win the 2028 Democratic presidential nomination?,8.780410469748766e-06,2.7627921906307993e-06,4,Politics,1
559670,Politics,politics,Will Gina Raimondo win the 2028 Democratic presidential nomination?,8.772958443583557e-06,2.696972564233349e-06,4,Politics,1
559671,Politics,politics,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,8.693534775704342e-06,2.671402496378424e-06,4,Politics,1
559677,Politics,politics,Will Hillary Clinton win the 2028 Democratic presidential nomination?,8.706951003795554e-06,2.7094374881742443e-06,4,Politics,1
559678,Politics,politics,Will Liz Cheney win the 2028 Democratic presidential nomination?,8.700986501374853e-06,2.7372221715010923e-06,4,Politics,1
559679,Politics,politics,Will Bernie Sanders win the 2028 Democratic presidential nomination?,8.910609657300075e-06,2.7405795282679927e-06,4,Politics,1
559680,Politics,politics,Will Phil Murphy win the 2028 Democratic presidential nomination?,8.772958443583557e-06,2.696972564233349e-06,4,Politics,1
559681,Politics,politics,Will LeBron James win the 2028 Democratic presidential nomination?,8.693534775704342e-06,2.671402496378424e-06,4,Politics,1
559682,Politics,politics,Will Hunter Biden win the 2028 Democratic presidential nomination?,8.757761708152073e-06,2.615465441263696e-06,4,Politics,1
559683,Politics,politics,Will George Clooney win the 2028 Democratic presidential nomination?,8.780410469748766e-06,2.7627921906307993e-06,4,Politics,1
559684,Politics,politics,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,8.362739839744061e-06,2.796101148018265e-06,4,Politics,1
559685,Politics,politics,Will MrBeast win the 2028 Democratic presidential nomination?,8.693534775704342e-06,2.671402496378424e-06,4,Politics,1
559687,Politics,politics,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,8.826385454859193e-06,2.6484706611591125e-06,4,Politics,1
559688,Politics,politics,Will Andrew Yang win the 2028 Democratic presidential nomination?,8.699567799538875e-06,2.694387879371148e-06,4,Politics,1
559689,Politics,politics,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,8.762555619623024e-06,2.7589339123102573e-06,4,Politics,1
559690,Politics,politics,Will Kim Kardashian win the 2028 Democratic presidential nomination?,8.772958443583557e-06,2.696972564233349e-06,4,Politics,1
559692,Politics,politics,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,8.861345307238097e-06,2.685549200775498e-06,4,Politics,1
560317,Geopolitics,geopolitics,"Putin out as President of Russia by December 31, 2026?",-2.828030662224351e-07,-3.6724716162811594e-06,3,Geopolitics,1
561240,Politics,politics,Will Stephen Smith win the 2028 US Presidential Election?,8.552217069486479e-06,2.655616074436248e-06,4,Politics,1
