market_id,classifier_label,tag_slug,question,z1,z2
1005343,Crypto,crypto,Puffpaw FDV above $50M one day after launch?,-7.757276780822449e-05,0.00011238041921020795
1005344,Crypto,crypto,Puffpaw FDV above $100M one day after launch?,-5.6459365126879316e-05,7.229456966881293e-05
1032272,Finance,finance,"Will Gold (GC) hit (HIGH) $5,500 by end of June?",2.1929643198518372e-05,2.5570864800492157e-05
1057883,Crypto,crypto,"Will Bitcoin reach $250,000 by December 31, 2026?",8.872681381693995e-06,-1.7271859848836742e-05
1057916,Crypto,crypto,"Will Bitcoin dip to $15,000 by December 31, 2026?",5.869568367398233e-06,-1.2938677708548247e-05
1090199,Geopolitics,geopolitics,Will Reza Pahlavi enter Iran by June 30?,8.42200863669967e-06,-2.0024424801285724e-05
1105750,Geopolitics,geopolitics,Will Pete Hegseth be the leader of Venezuela end of 2026?,1.262558445132695e-05,-2.4375046167616523e-05
1105751,Geopolitics,geopolitics,Will Evan Pettus be the leader of Venezuela end of 2026?,1.2828989637717249e-05,-2.464150515197597e-05
1105752,Geopolitics,geopolitics,Will Frank Donovan be the leader of Venezuela end of 2026?,1.2693165506412986e-05,-2.4636536618646924e-05
1105753,Geopolitics,geopolitics,Will Dan Caine be the leader of Venezuela end of 2026?,1.3179076880981518e-05,-2.502036314482629e-05
1105754,Geopolitics,geopolitics,Will Richard Grenell be the leader of Venezuela end of 2026?,1.2521268583481936e-05,-2.4665984037110055e-05
1126504,Geopolitics,geopolitics,Will the US acquire part of Greenland in 2026?,-3.5465757648348948e-06,9.869563949785831e-06
1131170,Tech,tech,Human moon landing in 2026?,5.156210698811372e-06,-1.740836206506273e-05
1144471,Crypto,crypto,Will Satoshi move any Bitcoin in 2026?,-1.167669317747305e-06,-7.0194605886441305e-06
1171663,Geopolitics,geopolitics,"Russia x Ukraine ceasefire by June 30, 2026?",2.8252000712852456e-06,-2.901743691863114e-06
1203147,Business,business,Will Elon Musk buy Ryanair?,1.0209694750585192e-05,-2.5225078569685693e-05
1298649,Business,business,OpenAI IPO closing market cap above $1T?,-2.300795721645939e-05,0.0001013543718221547
1302781,Crypto,crypto,Puffpaw FDV above $400M one day after launch?,-9.054185305924785e-06,-8.81293115440815e-06
1339767,Crypto,crypto,"Will Bitcoin dip to $50,000 by December 31, 2026?",-3.746757953686618e-05,4.638269388395224e-05
1393068,Crypto,crypto,"Will Bitcoin reach $500,000 by December 31, 2026?",1.0816291038864901e-05,-2.054458288338652e-05
1393070,Crypto,crypto,"Will Bitcoin reach $1,000,000 by December 31, 2026?",1.0102171581691774e-05,-2.1108047228266587e-05
1393318,Crypto,crypto,Predict.fun FDV above $200M one day after launch?,-8.518142792835785e-05,0.00012846519567289515
1393319,Crypto,crypto,Predict.fun FDV above $300M one day after launch?,-5.932711255873902e-05,0.00010595708404980238
1484987,Geopolitics,geopolitics,Netanyahu out by June 30?,1.1724672770516676e-05,-1.3021044634325136e-05
1540766,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by end of April?,-5.27001820494265e-06,1.8764349121880347e-05
1707932,Geopolitics,geopolitics,Will the Iranian regime fall by May 31?,1.5334636902263265e-05,-1.5985493100244302e-05
1708109,Geopolitics,geopolitics,Kharg Island no longer under Iranian control by May 31?,-1.7906033244804973e-06,-9.10592425712019e-06
1720656,Tech,tech,Will SpaceX's market cap be between $2.5T and $3.0T at market close on IPO day?,-3.2952752402056144e-05,3.4227916484296306e-06
1808970,Geopolitics,geopolitics,US obtains Iranian enriched uranium by May 31?,1.7067295291966316e-05,1.6605239119133197e-05
1809560,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by end of May?,-2.4193737793817025e-05,0.00013365031050707374
1819243,Geopolitics,geopolitics,QatarEnergy announces/resumes LNG production in Qatar by April 30?,-4.8295618660681594e-05,6.669578815224571e-05
1919425,Geopolitics,geopolitics,"US x Iran permanent peace deal by May 31, 2026?",-4.510927635467329e-05,7.851794225446234e-05
1962237,Geopolitics,geopolitics,"US x Iran permanent peace deal by June 30, 2026?",-7.430083816143081e-05,0.00010815137099880901
2054133,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by May 15?,-3.8140616715177174e-05,4.8169539963631525e-05
2088989,Crypto,crypto,Over $3M committed to the Printr public sale?,4.4458616396035335e-05,5.2702688597567683e-05
2099029,Geopolitics,geopolitics,"US x Iran permanent peace deal by May 15, 2026?",-2.352651156847689e-06,-2.6728507032187048e-05
540819,Pop culture,pop-culture,Will Jesus Christ return before GTA VI?,-4.46962170741652e-05,7.908467824226037e-05
540844,Pop culture,pop-culture,Will bitcoin hit $1m before GTA VI?,-4.5615564792896455e-05,7.951893727781861e-05
540881,Pop culture,pop-culture,GTA VI released before June 2026?,1.1933668626485363e-05,-2.2441390389253192e-05
553863,Sports,sports,Will the Los Angeles Lakers win the 2026 NBA Finals?,2.618418134512818e-06,-2.1067795375852505e-05
553866,Sports,sports,Will the San Antonio Spurs win the 2026 NBA Finals?,2.545131660401875e-06,1.343647993561149e-05
556108,Crypto,crypto,Will MegaETH perform an airdrop by June 30? ,5.720305336732037e-05,9.109799538003795e-05
558934,Sports,sports,Will Spain win the 2026 FIFA World Cup?,-1.897784250836663e-06,9.155181912580598e-06
558936,Sports,sports,Will France win the 2026 FIFA World Cup?,-6.724489619962056e-06,8.301326555629658e-06
558940,Sports,sports,Will Portugal win the 2026 FIFA World Cup?,6.194748399842618e-06,-6.0077161569376365e-06
558943,Sports,sports,Will USA win the 2026 FIFA World Cup?,1.1175737399849982e-05,-2.2161914353891975e-05
558949,Sports,sports,Will Japan win the 2026 FIFA World Cup?,9.93830510473366e-06,-2.0309849521934618e-05
558952,Sports,sports,Will Canada win the 2026 FIFA World Cup?,1.2146091746815623e-05,-2.377746869298913e-05
558954,Sports,sports,Will Tunisia win the 2026 FIFA World Cup?,1.2504249366586319e-05,-2.442437395940882e-05
558955,Sports,sports,Will Ecuador win the 2026 FIFA World Cup?,1.1924310886553298e-05,-2.337668981373659e-05
558956,Sports,sports,Will Paraguay win the 2026 FIFA World Cup?,1.233504701939135e-05,-2.3989673505253775e-05
558957,Sports,sports,Will New Zealand win the 2026 FIFA World Cup?,1.2623622066540507e-05,-2.4639987821040995e-05
558958,Sports,sports,Will Australia win the 2026 FIFA World Cup?,1.2939570564424418e-05,-2.4476934828876768e-05
558959,Sports,sports,Will Iran win the 2026 FIFA World Cup?,1.2707918839534647e-05,-2.463672708382759e-05
558960,Sports,sports,Will Uzbekistan win the 2026 FIFA World Cup?,1.2623622066540507e-05,-2.4639987821040995e-05
558961,Sports,sports,Will South Korea win the 2026 FIFA World Cup?,1.2418051977105353e-05,-2.4369945490605422e-05
558962,Sports,sports,Will Jordan win the 2026 FIFA World Cup?,1.2623622066540507e-05,-2.4639987821040995e-05
558963,Sports,sports,Will Morocco win the 2026 FIFA World Cup?,1.0870315524762069e-05,-2.201824898007937e-05
558964,Sports,sports,Will South Africa win the 2026 FIFA World Cup?,1.2573799342011442e-05,-2.442092625618065e-05
558966,Sports,sports,Will Ivory Coast win the 2026 FIFA World Cup?,1.251729213684027e-05,-2.41399824314884e-05
558968,Sports,sports,Will Egypt win the 2026 FIFA World Cup?,1.2384870040919332e-05,-2.4208749421632352e-05
558969,Sports,sports,Will Algeria win the 2026 FIFA World Cup?,1.2504249366586319e-05,-2.442437395940882e-05
558970,Sports,sports,Will Cape Verde win the 2026 FIFA World Cup?,1.2784730387458374e-05,-2.4768746000960577e-05
558971,Sports,sports,Will Qatar win the 2026 FIFA World Cup?,1.2623622066540507e-05,-2.4639987821040995e-05
558972,Sports,sports,Will Saudi Arabia win the 2026 FIFA World Cup?,1.2573799342011442e-05,-2.442092625618065e-05
558973,Sports,sports,Will Scotland win the 2026 FIFA World Cup?,1.2454426493484167e-05,-2.4205305187116687e-05
558976,Sports,sports,Will Croatia win the 2026 FIFA World Cup?,1.2344976612057689e-05,-2.3697074976754802e-05
558978,Sports,sports,Will Curaçao win the 2026 FIFA World Cup?,1.2784730387458374e-05,-2.4768746000960577e-05
559651,Geopolitics,geopolitics,Xi Jinping out before 2027?,3.0130077028416513e-06,-6.75819152630967e-06
559666,Politics,politics,Will Tim Walz win the 2028 Democratic presidential nomination?,1.242986195916194e-05,-2.3442827564957707e-05
559670,Politics,politics,Will Gina Raimondo win the 2028 Democratic presidential nomination?,1.2096268428801878e-05,-2.3558378678631624e-05
559671,Politics,politics,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,1.1976869429477679e-05,-2.334271572177402e-05
559677,Politics,politics,Will Hillary Clinton win the 2028 Democratic presidential nomination?,1.1928739409235974e-05,-2.3408242657074925e-05
559678,Politics,politics,Will Liz Cheney win the 2028 Democratic presidential nomination?,1.2310469597051634e-05,-2.3227163054575145e-05
559679,Politics,politics,Will Bernie Sanders win the 2028 Democratic presidential nomination?,1.1946336974237697e-05,-2.3518333612859635e-05
559680,Politics,politics,Will Phil Murphy win the 2028 Democratic presidential nomination?,1.2096268428801878e-05,-2.3558378678631624e-05
559681,Politics,politics,Will LeBron James win the 2028 Democratic presidential nomination?,1.1976869429477679e-05,-2.334271572177402e-05
559682,Politics,politics,Will Hunter Biden win the 2028 Democratic presidential nomination?,1.2444897855707134e-05,-2.3544352639264442e-05
559683,Politics,politics,Will George Clooney win the 2028 Democratic presidential nomination?,1.242986195916194e-05,-2.3442827564957707e-05
559684,Politics,politics,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,1.1808921573683493e-05,-2.3511138724942865e-05
559685,Politics,politics,Will MrBeast win the 2028 Democratic presidential nomination?,1.1976869429477679e-05,-2.334271572177402e-05
559687,Politics,politics,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,1.1943113306719327e-05,-2.2935770679641984e-05
559688,Politics,politics,Will Andrew Yang win the 2028 Democratic presidential nomination?,1.2254619186763099e-05,-2.335204405895664e-05
559689,Politics,politics,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,1.2053786183401825e-05,-2.3510147511384933e-05
559690,Politics,politics,Will Kim Kardashian win the 2028 Democratic presidential nomination?,1.2096268428801878e-05,-2.3558378678631624e-05
559692,Politics,politics,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,1.1739947139705753e-05,-2.3403172017538434e-05
560317,Geopolitics,geopolitics,"Putin out as President of Russia by December 31, 2026?",2.9651238373908428e-06,-5.174554897419898e-06
561240,Politics,politics,Will Stephen Smith win the 2028 US Presidential Election?,1.1497051172729735e-05,-2.281733351294827e-05
561247,Politics,politics,Will Tim Walz win the 2028 US Presidential Election?,1.2096268428801878e-05,-2.3558378678631624e-05
561248,Politics,politics,Will Vivek Ramaswamy win the 2028 US Presidential Election?,1.2096268428801878e-05,-2.3558378678631624e-05
561249,Politics,politics,Will Greg Abbott win the 2028 US Presidential Election?,1.1738052315778527e-05,-2.2911359191167835e-05
561251,Politics,politics,Will LeBron James win the 2028 US Presidential Election?,1.1529691500890554e-05,-2.309098533929787e-05
561254,Politics,politics,Will Kim Kardashian win the 2028 US Presidential Election?,1.2096268428801878e-05,-2.3558378678631624e-05
561986,Politics,politics,Will Byron Donalds win the 2028 Republican presidential nomination?,1.193146212122913e-05,-2.3411654408558003e-05
561993,Politics,politics,Will John Thune win the 2028 Republican presidential nomination?,1.1832106875453167e-05,-2.3618130412016096e-05
561994,Politics,politics,Will Kristi Noem win the 2028 Republican presidential nomination?,1.2096268428801878e-05,-2.3558378678631624e-05
561995,Politics,politics,Will Mike Pence win the 2028 Republican presidential nomination?,1.1935959627920586e-05,-2.3523883277853316e-05
563650,Tech,tech,"SCOTUS accepts sports event contract case by July 31, 2026?     ",1.4742494518103992e-05,-3.7859775440388e-06
566146,Sports,sports,Will Atletico Madrid win the 2025–26 Champions League?,-5.674412473141367e-06,3.336215841056268e-06
566170,Sports,sports,Will Club Brugge win the 2025–26 Champions League?,1.2812524928139349e-05,-2.485213618077837e-05
567621,Geopolitics,geopolitics,Will China invade Taiwan by end of 2026?,8.727956233071327e-06,-1.0088280039101866e-05
567687,Geopolitics,geopolitics,Russia x Ukraine ceasefire by end of 2026?,-7.127294101794065e-06,4.498760392772946e-05
573655,Crypto,crypto,"Will Bitcoin hit $150k by June 30, 2026?",1.4286623681350492e-05,-1.599565852680143e-05
609655,Business,business,US recession by end of 2026?,-1.2105233824312145e-05,3.173726247847084e-05
610256,Geopolitics,geopolitics,"Will Russia invade a NATO country by June 30, 2026?",8.458003529132338e-06,-1.7436516288063354e-05
616902,Business,business,Will no Fed rate cuts happen in 2026?,-2.411517008650929e-05,5.289507360652937e-05
616903,Business,business,Will 1 Fed rate cut happen in 2026?,-2.1657475727920757e-05,3.333635817240892e-05
616904,Business,business,Will 2 Fed rate cuts happen in 2026?,-1.387773017117887e-05,7.574743925436619e-06
616905,Business,business,Will 3 Fed rate cuts happen in 2026?,7.265529507938277e-06,-1.1593663214581028e-05
616906,Business,business,Will 4 Fed rate cuts happen in 2026?,4.177231044728623e-06,-1.7683750959051376e-05
616907,Business,business,Will 5 Fed rate cuts happen in 2026?,1.2538985214800041e-05,-2.1910793246042134e-05
616908,Business,business,Will 6 Fed rate cuts happen in 2026?,1.0904057347728906e-05,-2.3885330482979957e-05
616909,Business,business,Will 7 Fed rate cuts happen in 2026?,1.2987183502049083e-05,-2.379320468936258e-05
616910,Business,business,Will 8 Fed rate cuts happen in 2026?,1.2897802642817404e-05,-2.4469949878661288e-05
616911,Business,business,Will 9 Fed rate cuts happen in 2026?,1.203389751346994e-05,-2.4707695712703778e-05
